PlantletID,Openfield_Transfer_Date,Number,Location
SE201905_(162431C1/132332)_162,2020-09-04,2.0,Sendusu
SE201907_(163055C1/132419)_1,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_1,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_8,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_2,2020-09-04,2.0,Sendusu
SE201812_(162435C1/132708)_3,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_62,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_30,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_29,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_9,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_39,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_7,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_37,2020-09-04,1.0,Sendusu
SE201904_(162430C1/132419)_15,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_31,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_14,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_33,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_88,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_81,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_10,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_83,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_123,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_48,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_44,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_1,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_13,2020-09-04,1.0,Sendusu
SE201904_(162485C1/132614)_11,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_65,2020-09-04,1.0,Sendusu
SE201904_(162430C1/132419)_11,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_38,2020-09-04,1.0,Sendusu
SE201903_(163382C1/132701)_2,2020-09-04,1.0,Sendusu
SE201902_(162421C1/132608)_1,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_105,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_49,2020-09-04,1.0,Sendusu
SE201906_(162496C1/132361)_5,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_66,2020-09-04,1.0,Sendusu
