Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location
SE201903_(163382C1/132701),2019-08-08 08:00:43,SE201903_(163382C1/132701)_2,2019-08-07,Sendusu
SE201903_(163409C1/132623),2019-08-08 08:04:39,SE201903_(163409C1/132623)_1,2019-08-07,Sendusu
SE201904_(162372C1/132696),2019-10-04 08:37:12,SE201904_(162372C1/132696)_1,2019-09-30,Sendusu
SE201904_(162372C1/132696),2019-10-04 08:37:12,SE201904_(162372C1/132696)_2,2019-09-30,Sendusu
SE201904_(162372C1/132696),2019-10-04 08:37:12,SE201904_(162372C1/132696)_3,2019-09-30,Sendusu
SE201904_(162372C1/132696),2019-10-04 08:37:12,SE201904_(162372C1/132696)_4,2019-10-21,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_1,2019-08-26,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_10,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_11,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_12,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_13,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_14,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_15,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_16,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_17,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_18,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_19,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_2,2019-08-26,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_20,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_21,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_22,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_23,2019-09-11,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_24,2019-09-20,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_25,2019-09-20,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_26,2019-10-11,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_27,2019-10-11,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_28,2019-10-11,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_29,2019-10-21,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_3,2019-08-26,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_4,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_5,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_6,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_7,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_8,2019-09-02,Sendusu
SE201904_(162377C1/132361),2019-08-27 09:23:47,SE201904_(162377C1/132361)_9,2019-09-02,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_1,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_10,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_11,2019-09-02,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_12,2019-09-11,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_13,2019-09-30,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_14,2019-09-30,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_15,2019-10-11,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_2,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_3,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_4,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_5,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_6,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_7,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_8,2019-08-26,Sendusu
SE201904_(162430C1/132419),2019-08-27 09:19:19,SE201904_(162430C1/132419)_9,2019-08-26,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_1,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_10,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_11,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_12,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_13,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_14,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_15,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_16,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_17,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_18,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_19,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_2,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_20,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_21,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_22,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_23,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_24,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_25,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_26,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_27,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_28,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_29,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_3,2019-09-02,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_30,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_31,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_32,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_33,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_34,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_35,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_36,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_37,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_38,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_39,2019-09-11,Sendusu
SE201904_(162459C1/132361),2019-09-06 06:22:41,SE201904_(162459C1/132361)_4,2019-09-02,Sendusu
