PlantletID,Weaning_2_Date,Number,Location
SE201904_(162372C1/132696)_4,2020-04-27,4.0,Sendusu
SE201904_(162377C1/132361)_13,2020-04-27,2.0,Sendusu
SE201904_(162430C1/132419)_1,2020-04-27,3.0,Sendusu
SE201907_(162416C2/132332)_4,2020-04-27,3.0,Sendusu
SE201904_(162377C1/132361)_12,2020-04-27,3.0,Sendusu
SE201904_(162372C1/132696)_2,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_141,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_76,2020-04-27,4.0,Sendusu
SE201904_(162485C1/132614)_16,2020-04-27,3.0,Sendusu
SE201905_(162488C1/132412)_3,2020-04-27,1.0,Sendusu
SE201903_(162357C1/132383)_4,2020-04-27,4.0,Sendusu
SE201904_(162485C1/132614)_4,2020-04-27,4.0,Sendusu
SE201904_(162430C1/132419)_12,2020-04-27,4.0,Sendusu
SE201905_(162431C1/132332)_109,2020-04-27,4.0,Sendusu
SE201903_(162405C1/132571)_1,2020-04-27,4.0,Sendusu
SE201902_(162449C1/132494)_6,2020-04-27,2.0,Sendusu
SE201904_(162459C1/132361)_65,2020-04-27,2.0,Sendusu
SE201905_(162431C1/132332)_25,2020-04-27,1.0,Sendusu
SE201903_(162357C1/132383)_19,2020-04-27,4.0,Sendusu
SE201906_(162388C1/132533)_4,2020-04-27,4.0,Sendusu
SE201903_(162357C1/132383)_12,2020-04-27,2.0,Sendusu
SE201904_(162459C1/132361)_38,2020-04-27,2.0,Sendusu
SE201905_(162431C1/132332)_161,2020-04-27,2.0,Sendusu
SE201907_(162416C2/132332)_3,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_128,2020-04-27,4.0,Sendusu
SE201905_(162431C1/132332)_99,2020-04-27,2.0,Sendusu
SE201905_(162431C1/132332)_134,2020-04-27,4.0,Sendusu
SE201903_(163363C1/132604)_4,2020-04-27,4.0,Sendusu
SE201904_(162459C1/132361)_19,2020-04-27,4.0,Sendusu
SE201907_(163270C2/132692)_2,2020-04-28,3.0,Sendusu
SE201907_(163055C1/132419)_1,2020-04-28,2.0,Sendusu
SE201902_(162450C1/132447)_11,2020-04-28,4.0,Sendusu
SE201907_(163045C1/132358)_1,2020-04-28,4.0,Sendusu
SE201907_(162865C1/132329)_2,2020-04-28,4.0,Sendusu
SE201908_(162635C1/132647)_4,2020-04-28,3.0,Sendusu
SE201907_(162865C1/132329)_7,2020-04-28,4.0,Sendusu
SE201907_(162865C1/132329)_6,2020-04-28,2.0,Sendusu
SE201905_(162431C1/132332)_66,2020-05-22,1.0,Sendusu
SE201904_(162377C1/132361)_14,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_50,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_10,2020-05-22,1.0,Sendusu
SE201906_(162496C1/132361)_4,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_95,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_3,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_37,2020-05-22,1.0,Sendusu
SE201904_(162430C1/132419)_15,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_33,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_81,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_31,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_88,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_59,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_83,2020-05-22,1.0,Sendusu
SE201904_(162377C1/132361)_9,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_14,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_60,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_46,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_7,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_35,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_18,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_97,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_42,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_66,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_64,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_78,2020-05-22,1.0,Sendusu
SE201906_(162496C1/132361)_3,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_51,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_7,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_66,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_21,2020-05-22,1.0,Sendusu
