PlantletID,Copies,Subculture_Date,Location
SE201904_(162459C1/132361)_71,4,2020-01-09,Sendusu
SE201904_(162459C1/132361)_82,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_80,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_82,5,2020-01-09,Sendusu
SE201901_(163002C1/132635)_2,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_2,5,2020-01-13,Sendusu
SE201904_(162459C1/132361)_40,5,2020-01-13,Sendusu
SE201904_(162459C1/132361)_41,4,2020-01-13,Sendusu
SE201903_(162357C1/132383)_54,4,2020-01-13,Sendusu
SE201810_(162374C1/132566)_1,5,2020-01-13,Sendusu
SE201902_(163268C1/132386)_1,3,2020-01-13,Sendusu
SE201905_(162431C1/132332)_14,4,2020-01-08,Sendusu
SE201905_(162431C1/132332)_130,3,2020-01-13,Sendusu
SE201903_(162373C1/132466)_3,4,2020-01-13,Sendusu
SE201904_(162377C1/132361)_25,5,2020-01-13,Sendusu
SE201902_(162421C1/132608)_6,4,2020-01-13,Sendusu
SE201902_(162450C1/132447)_14,5,2020-01-13,Sendusu
SE201902_(163238C1/132696)_1,2,2020-01-13,Sendusu
SE201903_(162357C1/132383)_2,3,2020-01-13,Sendusu
SE201904_(162459C1/132361)_20,3,2020-01-13,Sendusu
SE201904_(162372C1/132696)_2,5,2020-01-13,Sendusu
SE201901_(162589C1/132635)_3,4,2020-01-13,Sendusu
SE201904_(162459C1/132361)_68,3,2020-01-13,Sendusu
SE201902_(163152C1/132512)_1,2,2020-01-13,Sendusu
SE201903_(162357C1/132383)_51,3,2020-01-13,Sendusu
SE201903_(163363C1/132604)_1,4,2020-01-13,Sendusu
SE201902_(162421C1/132608)_5,3,2020-01-13,Sendusu
SE201904_(162372C1/132696)_1,5,2020-01-13,Sendusu
SE201903_(162849C1/132373)_2,4,2020-01-13,Sendusu
SE201903_(162405C1/132571)_1,5,2020-01-13,Sendusu
SE201904_(162459C1/132361)_16,4,2020-01-13,Sendusu
SE201905_(162431C1/132332)_14,4,2020-01-13,Sendusu
SE201905_(162431C1/132332)_99,2,2020-01-16,Sendusu
SE201904_(162459C1/132361)_56,2,2020-01-16,Sendusu
SE201905_(162431C1/132332)_129,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_25,1,2020-01-16,Sendusu
SE201902_(162368C1/132466)_1,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_31,1,2020-01-16,Sendusu
SE201904_(162377C1/132361)_1,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_21,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_17,1,2020-01-16,Sendusu
SE201902_(162450C1/132447)_3,1,2020-01-16,Sendusu
SE201904_(162377C1/132361)_19,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_5,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_24,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_11,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_27,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_19,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_30,1,2020-01-16,Sendusu
SE201902_(162450C1/132447)_12,1,2020-01-16,Sendusu
SE201902_(162450C1/132447)_5,1,2020-01-16,Sendusu
SE201904_(162430C1/132419)_8,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_41,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_42,1,2020-01-16,Sendusu
SE201907_(162865C1/132329)_4,1,2020-01-16,Sendusu
SE201906_(162388C1/132533)_2,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_15,1,2020-01-16,Sendusu
SE201906_(162496C1/132361)_2,1,2020-01-16,Sendusu
SE201906_(162496C1/132361)_4,1,2020-01-16,Sendusu
SE201902_(162421C1/132608)_25,1,2020-01-16,Sendusu
