FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
16NM_Huti-white_plot250r12c3,NM201904_(152747C1/161582),,,,,1
16NM_Huti-white_plot251r12c2,NM201904_(152659C1/161503),NM202010_(152659C2/161439),,,,2
16NM_Huti-white_plot252r12c1,NM201902_(153145C1/161541),NM202002_(153145C2/161541),NM202101_(153145C2/161477),,,3
16NM_Huti-white_plot253r13c1,NM201903_(153083C1/161582),NM202001_(153083C2/161480),NM202001_(153083C2/161554),NM202102_(153083C/161418),,4
16NM_Huti-white_plot255r13c3,NM202009_(152686C1/161541),NM202009_(152686C2/161412),,,,2
16NM_Huti-white_plot271r13c19,NM201910_(153156C1/161480),NM202011_(153156C2/161554),,,,2
16NM_Huti-white_plot272r13c20,NM201903_(152589C1/161468),NM202102_(152589C2/161489),,,,2
16NM_Huti-white_plot273r13c21,NM201902_(152842C1/161541),NM201911_(152842C2/161480),NM202008_(152842C2/161554),,,3
16NM_Huti-white_plot274r14c21,NM201902_(152727C1/161584),NM201911_(152727C2/161421),NM202008_(152727C2/161554),,,3
16NM_Huti-white_plot275r14c20,NM201903_(152615C1/161582),NM202002_(152615C2/161494),NM202101_(152615C2/161591),,,3
16NM_Huti-white_plot276r14c19,NM201906_(152784C1/161554),,,,,1
16NM_Huti-white_plot292r14c3,NM202010_(152814C1/161487),,,,,1
16NM_Huti-white_plot293r14c2,NM201906_(152725C1/161503),,,,,1
16NM_Huti-white_plot294r14c1,NM201903_(152610C1/161582),NM202003_(152610C2/161419),NM202101_(152610C/161413),,,3
16NM_Huti-white_plot295r15c1,NM201902_(152499C1/161582),NM201912_(152499C2/161480),,,,2
16NM_Huti-white_plot296r15c2,NM201904_(152575C1/161503),NM201911_(152575C2/161500),,,,2
16NM_Huti-white_plot2r1c2,NM201911_(153048C1/161480),,,,,1
16NM_Huti-white_plot313r15c19,NM201904_(153014C1/161503),NM201911_(153014C2/161421),NM202006_(153014C2/161554),,,3
16NM_Huti-white_plot314r15c20,NM201903_(152861C1/161503),,,,,1
16NM_Huti-white_plot315r15c21,NM201901_(152942C1/161461),,,,,1
16NM_Huti-white_plot316r16c21,NM201902_(152798C1/161477),NM202010_(152798C2/161541),,,,2
16NM_Huti-white_plot317r16c20,NM201903_(152985C1/161582),NM202006_(152985C2/161554),,,,2
16NM_Huti-white_plot318r16c19,NM201904_(153160C1/161503),,,,,1
16NM_Huti-white_plot334r16c3,NM201908_(152897C1/161541),,,,,1
16NM_Huti-white_plot335r16c2,NM201906_(152877C1/161584),,,,,1
16NM_Huti-white_plot336r16c1,NM201905_(153095C1/161503),NM202007_(153095C2/161460),NM202007_(153095C2/161522),,,3
16NM_Huti-white_plot337r17c1,NM201902_(152411C1/161582),NM202002_(152411C2/161536),,,,2
16NM_Huti-white_plot338r17c2,NM201909_(152945C1/161503),NM202001_(152945C2/161567),,,,2
16NM_Huti-white_plot339r17c3,NM201905_(153055C1/161477),NM202005_(153055C2/161412),,,,2
16NM_Huti-white_plot355r17c19,NM201904_(152865C1/161582),NM202008_(152865C2/161500),,,,2
16NM_Huti-white_plot357r17c21,NM201902_(153088C1/161477),NM201912_(153088C2/161554),NM202009_(153088C2/161571),,,3
16NM_Huti-white_plot358r18c21,NM201902_(152370C1/161582),NM201911_(152370C2/161421),,,,2
16NM_Huti-white_plot359r18c20,NM201904_(152689C1/161582),NM202006_(152689C2/161554),,,,2
16NM_Huti-white_plot377r18c2,NM201906_(152904C1/161584),,,,,1
16NM_Huti-white_plot378r18c1,NM201906_(152395C1/161584),NM202009_(152395C2/161412),,,,2
16NM_Huti-white_plot379r19c1,NM201902_(152491C1/161503),NM202001_(152491C2/161554),NM202007_(152491C2/161522),NM202007_(152491C2/161554),,4
16NM_Huti-white_plot380r19c2,NM201906_(152538C1/161503),NM202009_(152538C2/161480),,,,2
16NM_Huti-white_plot381r19c3,NM202006_(152545C1/161433),,,,,1
16NM_Huti-white_plot397r19c19,NM201907_(153026C1/161500),NM202010_(153026C2/161554),,,,2
16NM_Huti-white_plot398r19c20,NM201904_(152994C1/161582),NM202006_(152994C2/161541),,,,2
16NM_Huti-white_plot399r19c21,NM201911_(152563C1/161480),NM202007_(152563C2/161433),,,,2
16NM_Huti-white_plot401r20c20,NM201903_(153052C1/161582),,,,,1
16NM_Huti-white_plot40r2c3,NM201904_(152743C1/136604),,,,,1
16NM_Huti-white_plot418r20c3,NM201909_(152425C1/161503),,,,,1
16NM_Huti-white_plot419r20c2,NM201904_(153109C1/161554),,,,,1
16NM_Huti-white_plot41r2c2,NM201905_(152925C1/161503),,,,,1
16NM_Huti-white_plot420r20c1,NM201907_(153073C1/161541),NM202103_(153073C/161571),,,,2
16NM_Huti-white_plot421r21c1,NM201904_(153154C1/161503),NM202012_(153154C2/161483),,,,2
16NM_Huti-white_plot422r21c2,NM201906_(152919C1/161503),NM202009_(152919C2/161412),,,,2
