FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,number_crosses
917K-1-R-4--C-3,SE202011_(242909C1/243029),,,1
917K-2-R-2--C-50,SE202010_(243427C1/242896),SE202012_(243427C2/242999),,2
917K-2-R-4--C-50,SE202011_(243423C1/242896),,,1
917K-2-R-4--C-51,SE202009_(243542C1/242896),,,1
917K-2-R-5--C-51,SE202011_(243765C1/242896),,,1
917K-2-R-6--C-51,SE202012_(243661C1/242999),,,1
917K-2-R-7--C-50,SE202102_(243712C1/242999),,,1
917K-2-R-8--C-50,SE202101_(243560C1/243057),,,1
Bitambi-R-1-C-5,SE202011_(242547C1/242850),SE202011_(242547C2/242850),SE202101_(242547C2/242829),3
Bitambi-R-3-C-6,SE202009_(242469C1/242961),,,1
Bitambi-R-4-C-6,SE202009_(242549C1/242855),,,1
Bitambi-R-6-C-7,SE202011_(242310C1/243074),,,1
Bitambi-R-8-C-5,SE202012_(242520C1/242829),,,1
Enzirabahima-r3-c50,SE202010_(243918C1/242996),,,1
Enzirabahima-r3-c52,SE202011_(244387C1/242996),,,1
Enzirabahima-r5-c50,SE202102_(244269C1/244071),,,1
Enzirabahima-r5-c52,SE202012_(244089C1/244071),,,1
Enzirabahima-r6-c53,SE202101_(244281C1/244071),,,1
IITA-Nakyetengu-R-1-C-24,SE202011_(242524C1/242829),,,1
IITA-Nakyetengu-R-1-C-25,SE202009_(242449C1/242996),,,1
IITA-Nakyetengu-R-1-C-26,SE202009_(242508C1/242996),,,1
IITA-Nakyetengu-R-2-C-23,SE202010_(242418C1/242996),,,1
IITA-Nakyetengu-R-2-C-26,SE202010_(242388C1/242996),,,1
IITA-Nakyetengu-R-2-C-27,SE202009_(242381C1/242996),,,1
IITA-Nakyetengu-R-4-C-23,SE202009_(242483C1/242996),,,1
IITA-Nakyetengu-R-7-C-23,SE202010_(242307C1/242996),,,1
IITA-Nakyetengu-R-7-C-26,SE202010_(242428C1/242996),,,1
IITA-Nakyetengu-R-7-C-27,SE202010_(242412C1/242996),,,1
IITA-Nakyetengu-R-8-C-25,KA202104_(242414C1/242829),,,1
IITA-Nakyetengu-r3-c35,SE202011_(244378C1/243938),,,1
IITA-Nakyetengu-r4-c32,SE202011_(243903C1/244010),,,1
IITA-Nakyetengu-r5-c32,SE202010_(244002C1/244010),,,1
IITA-Nakyetengu-r7-c33,SE202011_(243970C1/244322),,,1
Kabucuragye-R-1-C-15,KA202104_(242357C1/242829),,,1
Kabucuragye-R-1-C-17,SE202009_(242376C1/242855),,,1
Kabucuragye-R-1-C-21,SE202010_(242389C1/242996),SE202012_(242389C2/242829),,2
Kabucuragye-R-2-C-18,KA202104_(242472C1/242829),,,1
Kabucuragye-R-2-C-19,SE202012_(242506C1/242829),,,1
Kabucuragye-R-2-C-21,KA202104_(242517C1/242829),,,1
Kabucuragye-R-3-C-15,SE202101_(242311C1/242829),,,1
Kabucuragye-R-3-C-16,SE202010_(242503C1/243074),,,1
Kabucuragye-R-3-C-20,SE202009_(242510C1/242996),,,1
Kabucuragye-R-4-C-16,SE202101_(242391C1/242829),,,1
Kabucuragye-R-4-C-19,SE202101_(242507C1/242829),,,1
Kabucuragye-R-4-C-20,SE202101_(242390C1/242829),,,1
Kabucuragye-R-5-C-16,SE202010_(242365C1/242850),,,1
Kabucuragye-R-6-C-16,SE202012_(242440C1/242829),,,1
Kabucuragye-R-6-C-17,SE202010_(242325C1/242996),,,1
Kabucuragye-R-6-C-18,SE202012_(242429C1/242829),,,1
Kabucuragye-R-6-C-20,SE202011_(242386C1/242829),,,1
Kabucuragye-R-6-C-21,SE202011_(242465C1/242850),,,1
Kabucuragye-R-8-C-16,SE202102_(242346C1/242829),,,1
Kabucuragye-R-8-C-17,KA202104_(242526C1/242829),,,1
Kabucuragye-r4-c44,SE202102_(244211C1/244071),,,1
Kabucuragye-r7-c44,SE202009_(244049C1/242855),,,1
Nabio1117-R-1--C-56,SE202011_(243502C1/242946),,,1
Nabio1117-R-1--C-57,SE202010_(243622C1/242999),SE202012_(243622C2/242896),SE202101_(243622C2/242999),3
Nabio1117-R-2--C-56,SE202009_(243563C1/242999),SE202010_(243563C2/242866),,2
Nabio1117-R-2--C-57,SE202011_(243395C1/242896),,,1
Nabio1117-R-4--C-56,SE202009_(243382C1/242999),,,1
Nabio1117-R-5--C-57,SE202010_(243589C1/242896),,,1
Nabio1117-R-6--C-56,SE202010_(243636C1/242999),,,1
Nabio1117-R-6--C-57,SE202012_(243637C1/242999),,,1
Nabio1117-R-7--C-56,SE202010_(243613C1/243057),SE202012_(243613C2/242999),,2
Nabio1117-R-8--C-56,SE202012_(243459C1/242896),,,1
Nakawere-R-1-C-12,SE202010_(242513C1/242850),,,1
Nakawere-R-1-C-13,KA202104_(242309C1/242829),,,1
Nakawere-R-2-C-10,SE202009_(242448C1/242996),,,1
Nakawere-R-2-C-11,SE202102_(242523C1/242875),,,1
Nakawere-R-2-C-12,SE202102_(242442C1/242829),,,1
Nakawere-R-2-C-8,SE202012_(242427C1/242829),,,1
Nakawere-R-3-C-10,SE202011_(242343C1/242829),,,1
Nakawere-R-3-C-12,SE202010_(242555C1/242996),,,1
Nakawere-R-3-C-8,KA202104_(242415C1/242829),,,1
