Location,Crossnumber,TrialName,FemalePlotName,FemaleGenotype,Cycle,MaleGenotype,MalePlotName,First Pollination Date,Number of Repeats,Bunch Harvest Date,Seed Extraction Date,Total Seeds,Good Seeds,Embryo Rescue Date,Number of Embryo Rescued,Number of Embryo Germinating,Germination Date,FemalePloidy,FemaleLink,MalePloidy,MaleLink
Arusha,NM202009_(190286C1/161522),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot198,Huti white,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot10,2020-09-04,5,2021-02-16,2021-03-02,5,4,2021-03-15,4,4,2021-03-30,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM202009_(190364C1/161541),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot127,Huti white,1,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-09-30,2,2021-02-02,2021-03-02,16,13,2021-03-15,13,12,2021-03-30,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202009_(190440C2/161460),2019_NM_Pollination_Block_4b,NM2018_Huti-white_block_4b_plot172,Huti white,2,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot2,2020-09-17,8,2021-02-23,2021-03-10,5,5,2021-03-15,5,4,2021-03-30,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM202009_(190500C2/161467),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1240,ITC1468-kahuti,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot135,2020-09-14,1,2021-02-23,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202009_(190663C1/161467),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1009,ITC1468-kahuti,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot135,2020-09-14,1,2021-02-19,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202009_(190909C1/161541),2018_McharePollination_block4_NM,NM2018_Huti-white_block_4_1033,Huti white,1,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202009_(190909C2/161412),2018_McharePollination_block4_NM,NM2018_Huti-white_block_4_1033,Huti white,2,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot18,2020-09-21,4,2021-01-20,2021-02-09,5,4,2021-02-16,4,4,2021-03-02,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202009_(190940C1/161578),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1125,ITC1468-kahuti,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2020-09-11,2,2021-01-07,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202009_(191061C1/161406),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1062,ITC1468-kahuti,1,ITC1448 IITA hybrid 2145/1320,Males_ITC1448IITA_hybrid2145_1320_r2c11_plot32,2020-09-14,1,2020-12-30,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202009_(191095C1/161522),2018_Pollination_Block4_NM,NM2018_ITC1468-kahuti_block_4_1053,ITC1468-kahuti,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot10,2020-09-29,1,2021-01-20,2021-02-09,7,7,2021-02-16,7,7,2021-03-02,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202009_(196874C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2273-2_B1R3C3Plot75,T.2273-2,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-11,6,2021-03-24,2021-04-09,1,1,2021-04-12,1,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171825/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(196895C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM259-1_B2R6C7Plot222,NM259-1,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196222/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(196905C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2151-1_B3R27C13Plot459,T.2151-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-09,1,2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196227/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(196916C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2070-1_B1R33C3Plot105,T.2070-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-08,3,2021-01-05,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171820/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(196944C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM258-3_B3R28C13Plot460,NM258-3,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-15,4,2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196221/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(196967C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-3_B1R13C3Plot85,T.2274-3,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-15,NA,2021-04-09,2021-04-12,1,0,2021-04-16,0,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171827/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(196970C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.1687-1_B2R29C9Plot317,T.1687-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-02,1,2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171816/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(196984C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_T.2327-1_B1R24C2Plot60,T.2327-1,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171832/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(196999C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-12_B3R6C14Plot474,T.2274-12,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-04,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197006C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-7_B3R23C14Plot491,T.2274-7,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171830/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197010C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_MshaleLaini_B1R24C3Plot96,Mshale Laini,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-02,3,2021-04-15,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197017C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_T.2317-1_B2R8C8Plot260,T.2317-1,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171831/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197024C1/164452),2018_MCHARE_HYBRID_NM,2018NMMH_T.2317-1_B1R20C3Plot92,T.2317-1,1,ITC1468-kahuti,NM2018_Kahuti_block_5_510,2020-09-08,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171831/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
Arusha,NM202009_(197033C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM276-3_B1R14C4Plot122,NM276-3,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196225/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197042C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2070-1_B1R32C3Plot104,T.2070-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-02,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171820/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197054C1/164450),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-6_B3R23C15Plot527,T.2274-6,1,ITC1559-Huti_green_bell,NM2018_Hutigreenbell_block_6_631,2020-09-28,3,2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171829/view>view</a>,NA,NA
Arusha,NM202009_(197066C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2327-1_B2R6C9Plot294,T.2327-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171832/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197134C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2203-1_B2R36C8Plot288,T.2203-1,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-22,5,2021-03-05,2021-03-25,8,5,2021-04-12,5,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171822/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197158C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM185-1_B2R25C10Plot349,NM185-1,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-14,3,2021-01-22,2021-02-05,9,4,2021-02-16,4,2,2021-03-02,NA,<a  target=_blank href=https://musabase.org/stock/180224/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197194C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_NM275-4_B2R26C7Plot242,NM275-4,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196223/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197197C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2731-2_B3R33C15Plot537,T.2731-2,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-02,4,2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,https://musabase.org/stock/180233/view,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197225C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_NM275-4_B3R22C13Plot454,NM275-4,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196223/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197279C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-8_B1R29C5Plot173,T.2274-12,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-28,4,2021-04-29,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197286C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-4_B1R10C3Plot82,T.2274-4,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-24,NA,2021-03-08,2021-04-09,60,53,2021-04-12,53,43,2021-04-28,NA,<a  target=_blank href=https://musabase.org/stock/171828/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197286C1/197308),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-4_B1R10C3Plot82,T.2274-4,1,Mshale Laini,2018NMMH_MshaleLaini_B2R5C8Plot257,2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171828/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197376C1/164452),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-4_B2R13C9Plot301,T.2274-4,1,ITC1468-kahuti,NM2018_Kahuti_block_5_510,2020-09-09,1,2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/171828/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
Arusha,NM202009_(197381C1/164457),2018_MCHARE_HYBRID_NM,2018NMMH_T.2731-2_B2R4C11Plot364,T.2731-2,1,Huti white,NM2018_Huti-white_block_7_737,2020-09-29,2,2021-02-23,2021-03-10,8,4,2021-03-15,4,NA,NA,NA,https://musabase.org/stock/180233/view,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
Arusha,NM202009_(197454C1/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM276-3_B1R15C4Plot123,NM276-3,1,Mshale Laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2020-09-24,2,2021-04-09,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196225/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(197454C1/197308),2018_MCHARE_HYBRID_NM,2018NMMH_NM276-3_B1R15C4Plot123,NM276-3,1,Mshale Laini,2018NMMH_MshaleLaini_B2R5C8Plot257,2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/196225/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Arusha,NM202009_(231184C1/161494),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P142R6C1,Majimaji,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot8,2020-09-02,1,2020-12-30,2021-01-22,33,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231185C1/161502),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P129R6C1,Majimaji,1,ITC1448 IITA hybrid 2145/1320,Males_ITC1448IITA_hybrid2145_1320_r2c11_plot33,2020-09-08,4,2020-12-30,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231199C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P43R2C1,TT2,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-09-28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://musabase.org/stock/231181/view,NA,NA
Arusha,NM202009_(231199C2/161522),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P43R2C1,TT2,2,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot10,2020-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://musabase.org/stock/231181/view,NA,NA
Arusha,NM202009_(231224C1/161541),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P45R2C1,TT2,1,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-09-30,2,2021-03-18,2021-04-09,5,4,2021-04-12,4,4,2021-04-28,NA,https://musabase.org/stock/231181/view,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202009_(231232C1/161412),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P49R2C1,TT2,1,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot18,2020-09-02,5,2020-12-23,2021-01-18,13,11,2021-01-20,11,10,2021-02-08,NA,https://musabase.org/stock/231181/view,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202009_(231246C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P107R5C1,Majimaji,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231250C1/161599),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P146R6C1,Majimaji,1,ITC1448 IITA hybrid 2145/1320,Males_ITC1448IITA_hybrid2145_1320_r2c11_plot34,2020-09-17,1,2020-12-21,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231254C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P34R2C1,TT2,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-09-10,3,2021-02-09,2021-02-10,74,61,2021-02-16,61,52,2021-03-02,NA,https://musabase.org/stock/231181/view,NA,NA
Arusha,NM202009_(231264C1/161522),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P48R2C1,TT2,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot10,2020-09-22,8,2021-02-02,2021-02-16,13,13,2021-03-15,13,9,2021-03-30,NA,https://musabase.org/stock/231181/view,NA,NA
Arusha,NM202009_(231268C1/161505),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P122R5C1,Majimaji,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot7,2020-09-17,4,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231282C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P120R5C1,Majimaji,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-09-30,2,2020-12-30,2021-01-18,11,10,2021-01-20,10,8,2021-02-08,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202009_(231289C1/161522),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_MuraruMlalu_P25R1C1,Muraru Mlalu,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot10,2020-09-21,8,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65340/view>view</a>,NA,NA
Arusha,NM202009_(231315C1/161494),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P114R5C1,Majimaji,1,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot8,2020-09-02,1,2020-12-21,2021-01-18,6,6,2021-01-20,6,2,2021-02-08,2X,<a  target=_blank href=https://musabase.org/stock/65296/view>view</a>,NA,NA
Arusha,NM202010_(136336C2/161487),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot73_r4c12,ITC1468-kahuti,2,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot23,2020-10-12,NA,2021-03-29,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(136337C3/161500),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot340_r17c4,ITC1460-Ijihu_nkundu,3,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot5,2020-10-27,2,2021-03-15,2021-04-09,16,14,2021-04-12,14,3,2021-04-28,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,NA,NA
Arusha,NM202010_(136340C3/161554),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot62_r3c20,ITC1468-kahuti,3,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-10-19,NA,2021-02-19,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,NA,NA
Arusha,NM202010_(136375C3/161477),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot314_r15c20,ITC1460-Ijihu_nkundu,3,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot24,2020-10-30,NA,2021-02-19,2021-03-02,3,2,2021-03-15,2,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(136416C3/161405),2016 NM_Pollination block,16NM_Huti-white_plot115_r6c12,Huti white,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2020-10-27,NA,2021-03-15,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM202010_(136536C3/161459),2016 NM_Pollination block,16NM_Huti-white_plot151_r8c18,Huti white,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot129,2020-10-30,1,2021-03-23,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM202010_(136540C3/161590),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot441_r21c21,ITC1455-Mchare Mlelembo,3,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2020-10-06,NA,2021-01-22,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,NA,NA
Arusha,NM202010_(136568C3/161541),2016 NM_Pollination block,16NM_ITC1468-Kahuti_plot2_r1c2,ITC1468-kahuti,3,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202010_(136579C2/161541),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot323_r16c14,ITC1460-Ijihu_nkundu,2,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202010_(136649C3/161411),2016 NM_Pollination block,16NM_Huti-white_plot123_r6c4,Huti white,3,SH 3217,Males_SH3217_r10c1_plot200,2020-10-30,NA,2021-04-06,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM202010_(136664C3/161571),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot365_r18c14,ITC1455-Mchare Mlelembo,3,SH 3217,Males_SH3217_r10c1_plot192,2020-10-19,NA,2021-02-23,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,NA,NA
Arusha,NM202010_(136700C3/161477),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot354_r17c18,ITC1460-Ijihu_nkundu,3,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot24,2020-10-12,NA,2021-01-27,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(152659C2/161439),NM_Mcharepollinationblock2,16NM_Huti-white_plot251r12c2,Huti white,2,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot29,2020-10-15,NA,2021-01-27,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(152798C2/161541),NM_Mcharepollinationblock2,16NM_Huti-white_plot316r16c21,Huti white,2,ITC0609-Pahang,Males_ITC0609_Pahang_r1c11_plot12,2020-10-02,NA,2021-03-15,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM202010_(152814C1/161487),NM_Mcharepollinationblock2,16NM_Huti-white_plot292r14c3,Huti white,1,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot23,2020-10-19,NA,2021-02-08,2021-03-02,4,1,2021-03-15,1,1,2021-03-30,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(153016C2/161477),NM_Mcharepollinationblock2,16NM_Huti-white_plot231r11c21,Huti white,2,ITC0712-Aacv_Rose,Males_ITCO712_Cv_Rose_r2c1_plot24,2020-10-12,NA,2021-02-19,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM202010_(153026C2/161554),NM_Mcharepollinationblock2,16NM_Huti-white_plot397r19c19,Huti white,2,ITC0249-Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2020-10-12,NA,2021-03-15,2021-04-09,11,9,2021-04-12,9,2,2021-04-29,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
