FemaleGenotype,MaleGenotype,Female_Ploidy,Male_Ploidy,Female_Link,Male_Link
10969S-1,10969S-1,2X,2X,<a  target=_blank href=https://musabase.org/stock/65418/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65418/view>view</a>
7197-2,7197-2,NA,NA,<a  target=_blank href=https://musabase.org/stock/65847/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65847/view>view</a>
SH3362,SH3362,2X,2X,<a  target=_blank href=https://musabase.org/stock/65437/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65437/view>view</a>
TMB2X5265-1,TMB2X5265-1,2X,2X,<a  target=_blank href=https://musabase.org/stock/65416/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65416/view>view</a>
SH3217,SH3217,NA,NA,<a  target=_blank href=https://musabase.org/stock/123384/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123384/view>view</a>
9128-3,9128-3,NA,NA,<a  target=_blank href=https://musabase.org/stock/65193/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65193/view>view</a>
ITC0766-Paliama,ITC0766-Paliama,2x,2x,<a  target=_blank href=https://musabase.org/stock/123373/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123373/view>view</a>
ITC0966-Zebrina_GF,ITC0966-Zebrina_GF,2X,2X,<a  target=_blank href=https://musabase.org/stock/64968/view>view</a>,<a  target=_blank href=https://musabase.org/stock/64968/view>view</a>
Malaccensis,Malaccensis,NA,NA,<a  target=_blank href=https://musabase.org/stock/150791/view>view</a>,<a  target=_blank href=https://musabase.org/stock/150791/view>view</a>
ITC0393-Truncata,ITC0393-Truncata,2x,2x,<a  target=_blank href=https://musabase.org/stock/123376/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123376/view>view</a>
ITC0393-Truncata,ITC0393-Truncata,2X,2X,<a  target=_blank href=https://musabase.org/stock/123376/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123376/view>view</a>
ITC.1455_Mshale Mlelembo,ITC.1455_Mshale Mlelembo,2x,2x,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>
Huti white,Huti white,2x,2x,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
ITC.1460_Ijihu Inkundu,ITC.1460_Ijihu Inkundu,2x,2x,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>
ITC.1468_Kahuti,ITC.1468_Kahuti,2X,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
ITC.1468_Kahuti,ITC.1468_Kahuti,2x,2x,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
MchareLaini,MchareLaini,2x,2x,<a  target=_blank href=https://musabase.org/stock/65045/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65045/view>view</a>
T.2274-8,T.2274-8,NA,NA,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>
Calcutta 4,Calcutta 4,2x,2x,<a  target=_blank href=https://musabase.org/stock/123380/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123380/view>view</a>
T.2003-1,T.2003-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/171822/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171822/view>view</a>
Muraru-Mlalu,Muraru-Mlalu,2X,2X,<a  target=_blank href=https://musabase.org/stock/65340/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65340/view>view</a>
Mshale Laini,Mshale Laini,2x,2x,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65889/view>view</a>
Enzirabahima,Enzirabahima,3x,3x,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>
